Target: http://shoppy.htb/
Total requests: 100000
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00007:  C=301      7 L	      11 W	    169 Ch	  "ns1"
18253:  C=301      7 L	      11 W	    169 Ch	  "server43"
18255:  C=301      7 L	      11 W	    169 Ch	  "sbs2003"
18247:  C=301      7 L	      11 W	    169 Ch	  "sti"
18249:  C=301      7 L	      11 W	    169 Ch	  "shuiguolaohujipojiefangfa"
18244:  C=301      7 L	      11 W	    169 Ch	  "tama"
18243:  C=301      7 L	      11 W	    169 Ch	  "thai"
18246:  C=301      7 L	      11 W	    169 Ch	  "storage01"
18245:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengfeilvbin"
18242:  C=301      7 L	      11 W	    169 Ch	  "torino"
18239:  C=301      7 L	      11 W	    169 Ch	  "wangshangbaijialenaliwanxinyuhao"
18241:  C=301      7 L	      11 W	    169 Ch	  "tsa"
18238:  C=301      7 L	      11 W	    169 Ch	  "wangshangbocai10dawangzhan"
18237:  C=301      7 L	      11 W	    169 Ch	  "wangshangtouzhuwaiwei"
18235:  C=301      7 L	      11 W	    169 Ch	  "wasabi"
18266:  C=301      7 L	      11 W	    169 Ch	  "quanxunwang7m22"
18268:  C=301      7 L	      11 W	    169 Ch	  "qipaiyouxishanghuangjincheng"
18280:  C=301      7 L	      11 W	    169 Ch	  "liboyazhoubaijialeyulecheng"
18272:  C=301      7 L	      11 W	    169 Ch	  "pablo"
18296:  C=301      7 L	      11 W	    169 Ch	  "huangguandanshizoudi"
18315:  C=301      7 L	      11 W	    169 Ch	  "found"
18314:  C=301      7 L	      11 W	    169 Ch	  "gnu"
18313:  C=301      7 L	      11 W	    169 Ch	  "guojiyulechengbaijiale"
18311:  C=301      7 L	      11 W	    169 Ch	  "h121"
18312:  C=301      7 L	      11 W	    169 Ch	  "guojizuqiubocaigongsi"
18310:  C=301      7 L	      11 W	    169 Ch	  "h153"
18309:  C=301      7 L	      11 W	    169 Ch	  "haiwangxingguoji"
18308:  C=301      7 L	      11 W	    169 Ch	  "hapiqipaiyouxipingtai"
18307:  C=301      7 L	      11 W	    169 Ch	  "haydn"
18306:  C=301      7 L	      11 W	    169 Ch	  "hongtaokyule"
18305:  C=301      7 L	      11 W	    169 Ch	  "host-140"
18304:  C=301      7 L	      11 W	    169 Ch	  "host-165"
18303:  C=301      7 L	      11 W	    169 Ch	  "host-171"
18302:  C=301      7 L	      11 W	    169 Ch	  "host-186"
18299:  C=301      7 L	      11 W	    169 Ch	  "host-220"
18301:  C=301      7 L	      11 W	    169 Ch	  "host-207"
18300:  C=301      7 L	      11 W	    169 Ch	  "host-209"
18298:  C=301      7 L	      11 W	    169 Ch	  "host-55"
18295:  C=301      7 L	      11 W	    169 Ch	  "huangguantouzhuceshi"
18297:  C=301      7 L	      11 W	    169 Ch	  "host-58"
18294:  C=301      7 L	      11 W	    169 Ch	  "huangguantouzhudailiwang"
18291:  C=301      7 L	      11 W	    169 Ch	  "huangguanzhengwangwangzhi"
18293:  C=301      7 L	      11 W	    169 Ch	  "huangguanwangpingtaichuzu"
18292:  C=301      7 L	      11 W	    169 Ch	  "huangguanwangwang"
18290:  C=301      7 L	      11 W	    169 Ch	  "huangguanzhengwangzuqiugaidan"
18289:  C=301      7 L	      11 W	    169 Ch	  "huangguanzuixin"
18288:  C=301      7 L	      11 W	    169 Ch	  "huangmadaili"
18287:  C=301      7 L	      11 W	    169 Ch	  "jinshatouzhu"
18286:  C=301      7 L	      11 W	    169 Ch	  "kaisiyulechengguanwang"
18285:  C=301      7 L	      11 W	    169 Ch	  "knox"
18284:  C=301      7 L	      11 W	    169 Ch	  "lasiweijiasibocaiye"
18283:  C=301      7 L	      11 W	    169 Ch	  "lejiuyulechengshipianzi"
18278:  C=301      7 L	      11 W	    169 Ch	  "ncentral"
18277:  C=301      7 L	      11 W	    169 Ch	  "nicolas"
18282:  C=301      7 L	      11 W	    169 Ch	  "letoulebocailuntan3ddudan"
18279:  C=301      7 L	      11 W	    169 Ch	  "najiabaijialeyouxizuodezuihao"
18281:  C=301      7 L	      11 W	    169 Ch	  "libodailiwangzhi"
18271:  C=301      7 L	      11 W	    169 Ch	  "pikachu"
18276:  C=301      7 L	      11 W	    169 Ch	  "nine"
18274:  C=301      7 L	      11 W	    169 Ch	  "nt1"
18275:  C=301      7 L	      11 W	    169 Ch	  "ns31"
18273:  C=301      7 L	      11 W	    169 Ch	  "otis"
18270:  C=301      7 L	      11 W	    169 Ch	  "ppp13"
18267:  C=301      7 L	      11 W	    169 Ch	  "quanxunwang3344111"
18330:  C=301      7 L	      11 W	    169 Ch	  "chenxiaochunpai9"
18269:  C=301      7 L	      11 W	    169 Ch	  "qipaiyouxijiameng"
18316:  C=301      7 L	      11 W	    169 Ch	  "fengkuangdezuqiu"
18318:  C=301      7 L	      11 W	    169 Ch	  "elisa"
18322:  C=301      7 L	      11 W	    169 Ch	  "dafuwengyouxi"
18346:  C=301      7 L	      11 W	    169 Ch	  "aomenzuqiucaipiaoyouxiangongsi"
18351:  C=301      7 L	      11 W	    169 Ch	  "aomenduchangwanshime"
18352:  C=301      7 L	      11 W	    169 Ch	  "aomenduchangheguanyaoqiu"
18353:  C=301      7 L	      11 W	    169 Ch	  "aomenduchanggubao"
18350:  C=301      7 L	      11 W	    169 Ch	  "aomenhuangjiayulecheng"
18349:  C=301      7 L	      11 W	    169 Ch	  "aomenhuangjiayuleguibinhui"
18348:  C=301      7 L	      11 W	    169 Ch	  "aomenjinshazuqiutouzhuwang"
18347:  C=301      7 L	      11 W	    169 Ch	  "aomentouzhupankou"
18344:  C=301      7 L	      11 W	    169 Ch	  "baidafeiliyulecheng"
18345:  C=301      7 L	      11 W	    169 Ch	  "asd"
18343:  C=301      7 L	      11 W	    169 Ch	  "baijialebocaizuqiukaihu"
18342:  C=301      7 L	      11 W	    169 Ch	  "baijialedaxianzhumafa"
18341:  C=301      7 L	      11 W	    169 Ch	  "baijialepingtaizuyong"
18338:  C=301      7 L	      11 W	    169 Ch	  "baoshijieyulechengzenmeyang"
18340:  C=301      7 L	      11 W	    169 Ch	  "baijialezhipaiyouxi"
18339:  C=301      7 L	      11 W	    169 Ch	  "baijialezhuangxianjilv"
18337:  C=301      7 L	      11 W	    169 Ch	  "bayannaoer"
18336:  C=301      7 L	      11 W	    169 Ch	  "bocaitonggaoerfuyulecheng"
18335:  C=301      7 L	      11 W	    169 Ch	  "bocaiyouxiguize"
18334:  C=301      7 L	      11 W	    169 Ch	  "bogouyazhouwangzhi"
18333:  C=301      7 L	      11 W	    169 Ch	  "bones"
18332:  C=301      7 L	      11 W	    169 Ch	  "boyinkefu"
18329:  C=301      7 L	      11 W	    169 Ch	  "colt"
18331:  C=301      7 L	      11 W	    169 Ch	  "bulletin"
18328:  C=301      7 L	      11 W	    169 Ch	  "con1"
18327:  C=301      7 L	      11 W	    169 Ch	  "configurator"
18326:  C=301      7 L	      11 W	    169 Ch	  "curriculum"
18325:  C=301      7 L	      11 W	    169 Ch	  "cyprus"
18324:  C=301      7 L	      11 W	    169 Ch	  "d01"
18321:  C=301      7 L	      11 W	    169 Ch	  "domino1"
18323:  C=301      7 L	      11 W	    169 Ch	  "d11"
18317:  C=301      7 L	      11 W	    169 Ch	  "feilvbintaiyangchengchuzu"
18356:  C=301      7 L	      11 W	    169 Ch	  "anthony"
18354:  C=301      7 L	      11 W	    169 Ch	  "aomenbocaizaixianxiazai"
18320:  C=301      7 L	      11 W	    169 Ch	  "duboyouxijiluntan"
18319:  C=301      7 L	      11 W	    169 Ch	  "eddy"
18360:  C=301      7 L	      11 W	    169 Ch	  "a167"
18368:  C=301      7 L	      11 W	    169 Ch	  "zuqiuliansaitouzhu"
18384:  C=301      7 L	      11 W	    169 Ch	  "ws40"
18392:  C=301      7 L	      11 W	    169 Ch	  "wangshangzaixianyouxiwang"
18391:  C=301      7 L	      11 W	    169 Ch	  "wangyezhenrendoudizhu"
18390:  C=301      7 L	      11 W	    169 Ch	  "wanzuqiudaonalikaihu"
18389:  C=301      7 L	      11 W	    169 Ch	  "webgis"
18388:  C=301      7 L	      11 W	    169 Ch	  "weideguanfangwangzhan"
18386:  C=301      7 L	      11 W	    169 Ch	  "werkplek"
18387:  C=301      7 L	      11 W	    169 Ch	  "weiersirenxianshangyule"
18383:  C=301      7 L	      11 W	    169 Ch	  "wuhai"
18385:  C=301      7 L	      11 W	    169 Ch	  "wii"
18380:  C=301      7 L	      11 W	    169 Ch	  "yifaguojichuantongbaijiale"
18379:  C=301      7 L	      11 W	    169 Ch	  "youxizhifupingtai"
18382:  C=301      7 L	      11 W	    169 Ch	  "xinpujingwangshangyule"
18381:  C=301      7 L	      11 W	    169 Ch	  "xinpujingxianshangyule"
18378:  C=301      7 L	      11 W	    169 Ch	  "yunboyulechengguanwangzhuce"
18377:  C=301      7 L	      11 W	    169 Ch	  "zhenqianqipaiyulecheng"
18376:  C=301      7 L	      11 W	    169 Ch	  "zhenrenbaijialebocai"
18375:  C=301      7 L	      11 W	    169 Ch	  "zhenrenzaixianyulecheng"
18374:  C=301      7 L	      11 W	    169 Ch	  "zhongguotiyucaipiao"
18373:  C=301      7 L	      11 W	    169 Ch	  "zuikuaihuangguanzhengwangkaihu"
18372:  C=301      7 L	      11 W	    169 Ch	  "zunlongguojikaihu"
18371:  C=301      7 L	      11 W	    169 Ch	  "zuqiucaipiaowang"
18370:  C=301      7 L	      11 W	    169 Ch	  "zuqiuhuangguan"
18367:  C=301      7 L	      11 W	    169 Ch	  "zuqiupankoufenxi"
18369:  C=301      7 L	      11 W	    169 Ch	  "zuqiujingcaiguize"
18366:  C=301      7 L	      11 W	    169 Ch	  "zuqiuquanxunwang"
18365:  C=301      7 L	      11 W	    169 Ch	  "06"
18364:  C=301      7 L	      11 W	    169 Ch	  "12betcom"
18363:  C=301      7 L	      11 W	    169 Ch	  "3uyulechengbaijiale"
18362:  C=301      7 L	      11 W	    169 Ch	  "88yulechengzenyang"
18359:  C=301      7 L	      11 W	    169 Ch	  "a179"
18361:  C=301      7 L	      11 W	    169 Ch	  "a151"
18358:  C=301      7 L	      11 W	    169 Ch	  "a65"
18355:  C=301      7 L	      11 W	    169 Ch	  "aomenbaijialewanfajiqiao"
18357:  C=301      7 L	      11 W	    169 Ch	  "a90"
18393:  C=301      7 L	      11 W	    169 Ch	  "wangshangtouzhuzuqiucaipiao"
18399:  C=301      7 L	      11 W	    169 Ch	  "tieganguoji"
18395:  C=301      7 L	      11 W	    169 Ch	  "volga"
18407:  C=301      7 L	      11 W	    169 Ch	  "sw03"
18423:  C=301      7 L	      11 W	    169 Ch	  "s168"
18430:  C=301      7 L	      11 W	    169 Ch	  "qileguoji"
18429:  C=301      7 L	      11 W	    169 Ch	  "qipaileixiaoyouxi"
18428:  C=301      7 L	      11 W	    169 Ch	  "registrations"
18427:  C=301      7 L	      11 W	    169 Ch	  "s127"
18426:  C=301      7 L	      11 W	    169 Ch	  "s141"
18425:  C=301      7 L	      11 W	    169 Ch	  "s149"
18422:  C=301      7 L	      11 W	    169 Ch	  "s170"
18420:  C=301      7 L	      11 W	    169 Ch	  "s226"
18421:  C=301      7 L	      11 W	    169 Ch	  "s223"
18424:  C=301      7 L	      11 W	    169 Ch	  "s157"
18418:  C=301      7 L	      11 W	    169 Ch	  "shalongguojiyouxi"
18419:  C=301      7 L	      11 W	    169 Ch	  "s234"
18417:  C=301      7 L	      11 W	    169 Ch	  "shared1"
18413:  C=301      7 L	      11 W	    169 Ch	  "smtp80"
18416:  C=301      7 L	      11 W	    169 Ch	  "shengshiguojizixunwang"
18414:  C=301      7 L	      11 W	    169 Ch	  "smtp110"
18412:  C=301      7 L	      11 W	    169 Ch	  "songcaijin"
18415:  C=301      7 L	      11 W	    169 Ch	  "sloth"
18411:  C=301      7 L	      11 W	    169 Ch	  "songyuan"
18409:  C=301      7 L	      11 W	    169 Ch	  "srv18"
18410:  C=301      7 L	      11 W	    169 Ch	  "spcr-0"
18406:  C=301      7 L	      11 W	    169 Ch	  "swg"
18408:  C=301      7 L	      11 W	    169 Ch	  "strauss"
18405:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengbaijialeguanfang"
18404:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengkaihufeilvbin"
18403:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengyulebaijiale"
18402:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengyuleguanwang"
18398:  C=301      7 L	      11 W	    169 Ch	  "tiyubocaiyule"
18400:  C=301      7 L	      11 W	    169 Ch	  "tianshangrenjian"
18401:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengyuletiyuxianjinwang"
18396:  C=301      7 L	      11 W	    169 Ch	  "virus"
18397:  C=301      7 L	      11 W	    169 Ch	  "ttyulechengzuixinbeiyongwangzhi"
18394:  C=301      7 L	      11 W	    169 Ch	  "vps07"
18431:  C=301      7 L	      11 W	    169 Ch	  "prueba"
18433:  C=301      7 L	      11 W	    169 Ch	  "properties"
18437:  C=301      7 L	      11 W	    169 Ch	  "ns24"
18445:  C=301      7 L	      11 W	    169 Ch	  "mail123"
18461:  C=301      7 L	      11 W	    169 Ch	  "ibiza"
18469:  C=301      7 L	      11 W	    169 Ch	  "host-174"
18467:  C=301      7 L	      11 W	    169 Ch	  "host-243"
18466:  C=301      7 L	      11 W	    169 Ch	  "host-35"
18468:  C=301      7 L	      11 W	    169 Ch	  "host-175"
18465:  C=301      7 L	      11 W	    169 Ch	  "huangguansiwangxitongchuzu"
18463:  C=301      7 L	      11 W	    169 Ch	  "huanleguyulechengguanfangwang"
18460:  C=301      7 L	      11 W	    169 Ch	  "icp"
18464:  C=301      7 L	      11 W	    169 Ch	  "huangguanzuqiuxianjin"
18462:  C=301      7 L	      11 W	    169 Ch	  "iapetus"
18459:  C=301      7 L	      11 W	    169 Ch	  "je"
18458:  C=301      7 L	      11 W	    169 Ch	  "jingcailanqiutouzhujihua"
18457:  C=301      7 L	      11 W	    169 Ch	  "juchengyulecheng"
18454:  C=301      7 L	      11 W	    169 Ch	  "laibin"
18456:  C=301      7 L	      11 W	    169 Ch	  "keyitixiandeqipaiyouxi"
18450:  C=301      7 L	      11 W	    169 Ch	  "liaoning"
18452:  C=301      7 L	      11 W	    169 Ch	  "laowojinmumiangongsi"
18455:  C=301      7 L	      11 W	    169 Ch	  "kkk"
18453:  C=301      7 L	      11 W	    169 Ch	  "lanyueliangxinshuiluntan"
18451:  C=301      7 L	      11 W	    169 Ch	  "laowolandunzaixiankaihu"
18449:  C=301      7 L	      11 W	    169 Ch	  "lifesize"
18448:  C=301      7 L	      11 W	    169 Ch	  "m41"
18444:  C=301      7 L	      11 W	    169 Ch	  "mailin1"
18446:  C=301      7 L	      11 W	    169 Ch	  "mail105"
18443:  C=301      7 L	      11 W	    169 Ch	  "mobiletest"
18447:  C=301      7 L	      11 W	    169 Ch	  "m61"
18442:  C=301      7 L	      11 W	    169 Ch	  "mode"
18441:  C=301      7 L	      11 W	    169 Ch	  "mta96"
18440:  C=301      7 L	      11 W	    169 Ch	  "nbabocaigongsi"
18439:  C=301      7 L	      11 W	    169 Ch	  "nis"
18436:  C=301      7 L	      11 W	    169 Ch	  "ocelot"
18438:  C=301      7 L	      11 W	    169 Ch	  "node04"
18435:  C=301      7 L	      11 W	    169 Ch	  "ouzhouzuqiuxiansheng"
18432:  C=301      7 L	      11 W	    169 Ch	  "prs"
18434:  C=301      7 L	      11 W	    169 Ch	  "pinbozaixiancaipiaowang"
18470:  C=301      7 L	      11 W	    169 Ch	  "host-173"
18472:  C=301      7 L	      11 W	    169 Ch	  "hood"
18476:  C=301      7 L	      11 W	    169 Ch	  "h149"
18500:  C=301      7 L	      11 W	    169 Ch	  "bocaigongsixinyupingji"
18484:  C=301      7 L	      11 W	    169 Ch	  "dzb"
18507:  C=301      7 L	      11 W	    169 Ch	  "baijialechoushui"
18506:  C=301      7 L	      11 W	    169 Ch	  "baijialedailiwangzhan"
18505:  C=301      7 L	      11 W	    169 Ch	  "baijinguojiyule"
18503:  C=301      7 L	      11 W	    169 Ch	  "benxiqipai"
18504:  C=301      7 L	      11 W	    169 Ch	  "baomahuiyule"
18502:  C=301      7 L	      11 W	    169 Ch	  "biyingyazhou"
18499:  C=301      7 L	      11 W	    169 Ch	  "c120"
18501:  C=301      7 L	      11 W	    169 Ch	  "bluebird"
18498:  C=301      7 L	      11 W	    169 Ch	  "cam3"
18497:  C=301      7 L	      11 W	    169 Ch	  "capital"
18496:  C=301      7 L	      11 W	    169 Ch	  "carolina"
18493:  C=301      7 L	      11 W	    169 Ch	  "ceoyule"
18494:  C=301      7 L	      11 W	    169 Ch	  "cdn02"
18495:  C=301      7 L	      11 W	    169 Ch	  "cctv5zaixianzhibonba"
18492:  C=301      7 L	      11 W	    169 Ch	  "chennai"
18491:  C=301      7 L	      11 W	    169 Ch	  "cma"
18490:  C=301      7 L	      11 W	    169 Ch	  "crypto"
18489:  C=301      7 L	      11 W	    169 Ch	  "dalianxinyuwangqipai"
18487:  C=301      7 L	      11 W	    169 Ch	  "dayingjiakaihu"
18488:  C=301      7 L	      11 W	    169 Ch	  "dawanjia"
18486:  C=301      7 L	      11 W	    169 Ch	  "duboyouxijiguilv"
18483:  C=301      7 L	      11 W	    169 Ch	  "echelon"
18485:  C=301      7 L	      11 W	    169 Ch	  "duqiuwangzhi8bc8"
18482:  C=301      7 L	      11 W	    169 Ch	  "eshiboxinyuzenmeyang"
18480:  C=301      7 L	      11 W	    169 Ch	  "guanfangyulebocaishequ"
18481:  C=301      7 L	      11 W	    169 Ch	  "gra"
18479:  C=301      7 L	      11 W	    169 Ch	  "h110"
18477:  C=301      7 L	      11 W	    169 Ch	  "h135"
18478:  C=301      7 L	      11 W	    169 Ch	  "h122"
18475:  C=301      7 L	      11 W	    169 Ch	  "h176"
18474:  C=301      7 L	      11 W	    169 Ch	  "h241"
18471:  C=301      7 L	      11 W	    169 Ch	  "host-172"
18508:  C=301      7 L	      11 W	    169 Ch	  "b13"
18473:  C=301      7 L	      11 W	    169 Ch	  "hongfa"
18510:  C=301      7 L	      11 W	    169 Ch	  "awesome"
18514:  C=301      7 L	      11 W	    169 Ch	  "a80"
18522:  C=301      7 L	      11 W	    169 Ch	  "zuqiujulebuguanlixitong"
18538:  C=301      7 L	      11 W	    169 Ch	  "yikuqipaixiazai"
18542:  C=301      7 L	      11 W	    169 Ch	  "xianggangzuqiubao"
18541:  C=301      7 L	      11 W	    169 Ch	  "xianshangzuqiudaili"
18544:  C=301      7 L	      11 W	    169 Ch	  "words"
18543:  C=301      7 L	      11 W	    169 Ch	  "ws39"
18540:  C=301      7 L	      11 W	    169 Ch	  "xiazaibaijiale"
18539:  C=301      7 L	      11 W	    169 Ch	  "xinyudiyidezuqiutouzhuwangzhan"
18536:  C=301      7 L	      11 W	    169 Ch	  "yingfengguojizuixinwangzhan"
18537:  C=301      7 L	      11 W	    169 Ch	  "yingfengguojibocai"
18535:  C=301      7 L	      11 W	    169 Ch	  "yishengguoji"
18532:  C=301      7 L	      11 W	    169 Ch	  "yundingguojiyuledaili"
18533:  C=301      7 L	      11 W	    169 Ch	  "youzuqiuwangyouma"
18534:  C=301      7 L	      11 W	    169 Ch	  "yongli"
18531:  C=301      7 L	      11 W	    169 Ch	  "zhenqiandeqipaiyouxinagehao"
18530:  C=301      7 L	      11 W	    169 Ch	  "zhenqianqipaidoudizhu"
18529:  C=301      7 L	      11 W	    169 Ch	  "zhenqianyouxiwangzhan"
18528:  C=301      7 L	      11 W	    169 Ch	  "zhenrenbaijialejiqiao"
18524:  C=301      7 L	      11 W	    169 Ch	  "zuqiubifenbifenjishibifen"
18527:  C=301      7 L	      11 W	    169 Ch	  "zhonghuabocaicelue"
18525:  C=301      7 L	      11 W	    169 Ch	  "zuixinxianggangquanxunwang"
18526:  C=301      7 L	      11 W	    169 Ch	  "zhucesongcaijinqipai"
18521:  C=301      7 L	      11 W	    169 Ch	  "zuqiushengfucai11028"
18520:  C=301      7 L	      11 W	    169 Ch	  "zuqiuxiazhu"
18519:  C=301      7 L	      11 W	    169 Ch	  "21dianjiqiao"
18523:  C=301      7 L	      11 W	    169 Ch	  "zuqiucaipiaobifenzhibo"
18518:  C=301      7 L	      11 W	    169 Ch	  "a153"
18517:  C=301      7 L	      11 W	    169 Ch	  "a159"
18513:  C=301      7 L	      11 W	    169 Ch	  "aomenbocailunpanxiazai"
18516:  C=301      7 L	      11 W	    169 Ch	  "a168"
18515:  C=301      7 L	      11 W	    169 Ch	  "a79"
18509:  C=301      7 L	      11 W	    169 Ch	  "ayuda"
18511:  C=301      7 L	      11 W	    169 Ch	  "aomenduchangruheyingqian"
18512:  C=301      7 L	      11 W	    169 Ch	  "aomenduboshipin"
18547:  C=301      7 L	      11 W	    169 Ch	  "wangshangdubowang"
18545:  C=301      7 L	      11 W	    169 Ch	  "wisdom"
18551:  C=301      7 L	      11 W	    169 Ch	  "verona"
18559:  C=301      7 L	      11 W	    169 Ch	  "taiyangchengyulechengzhuce"
18594:  C=301      7 L	      11 W	    169 Ch	  "mailin2"
18593:  C=301      7 L	      11 W	    169 Ch	  "markov"
18575:  C=301      7 L	      11 W	    169 Ch	  "s167"
18592:  C=301      7 L	      11 W	    169 Ch	  "mate"
18591:  C=301      7 L	      11 W	    169 Ch	  "mingshengguojibeiyongwang"
18590:  C=301      7 L	      11 W	    169 Ch	  "miraculix"
18589:  C=301      7 L	      11 W	    169 Ch	  "mitel5000"
18588:  C=301      7 L	      11 W	    169 Ch	  "monolith"
18587:  C=301      7 L	      11 W	    169 Ch	  "motion"
18584:  C=301      7 L	      11 W	    169 Ch	  "nico"
18586:  C=301      7 L	      11 W	    169 Ch	  "mta79"
18585:  C=301      7 L	      11 W	    169 Ch	  "mta89"
18583:  C=301      7 L	      11 W	    169 Ch	  "nile"
18581:  C=301      7 L	      11 W	    169 Ch	  "qixingyulecheng"
18582:  C=301      7 L	      11 W	    169 Ch	  "ola"
18580:  C=301      7 L	      11 W	    169 Ch	  "res2"
18579:  C=301      7 L	      11 W	    169 Ch	  "riboguojiyule"
18574:  C=301      7 L	      11 W	    169 Ch	  "s190"
18578:  C=301      7 L	      11 W	    169 Ch	  "rpt"
18577:  C=301      7 L	      11 W	    169 Ch	  "ruifengbeiyongwangzhi"
18576:  C=301      7 L	      11 W	    169 Ch	  "s150"
18573:  C=301      7 L	      11 W	    169 Ch	  "s196"
18572:  C=301      7 L	      11 W	    169 Ch	  "s239"
18571:  C=301      7 L	      11 W	    169 Ch	  "s88"
18570:  C=301      7 L	      11 W	    169 Ch	  "sen"
18569:  C=301      7 L	      11 W	    169 Ch	  "server52"
18568:  C=301      7 L	      11 W	    169 Ch	  "shanweisijiazhentan"
18564:  C=301      7 L	      11 W	    169 Ch	  "smtp63"
18567:  C=301      7 L	      11 W	    169 Ch	  "sherman"
18563:  C=301      7 L	      11 W	    169 Ch	  "smtp65"
18566:  C=301      7 L	      11 W	    169 Ch	  "shimeqipaiyouxinenzhuanqian"
18565:  C=301      7 L	      11 W	    169 Ch	  "smsc"
18562:  C=301      7 L	      11 W	    169 Ch	  "smtp83"
18561:  C=301      7 L	      11 W	    169 Ch	  "songtiyanjindeyulecheng"
18558:  C=301      7 L	      11 W	    169 Ch	  "taiziyulechengkaihu"
18560:  C=301      7 L	      11 W	    169 Ch	  "stress"
18557:  C=301      7 L	      11 W	    169 Ch	  "theater"
18556:  C=301      7 L	      11 W	    169 Ch	  "tianjintaiyangchengbaijiale"
18555:  C=301      7 L	      11 W	    169 Ch	  "tiantianleyulechengbeiyongwangzhi"
18550:  C=301      7 L	      11 W	    169 Ch	  "vf"
18553:  C=301      7 L	      11 W	    169 Ch	  "vanguard"
18554:  C=301      7 L	      11 W	    169 Ch	  "tieba"
18552:  C=301      7 L	      11 W	    169 Ch	  "venom"
18549:  C=301      7 L	      11 W	    169 Ch	  "volcano"
18548:  C=301      7 L	      11 W	    169 Ch	  "wangshangbaijialepingtainajiafanshuigao"
18595:  C=301      7 L	      11 W	    169 Ch	  "m46"
18546:  C=301      7 L	      11 W	    169 Ch	  "wantaibocaigongsi"
18597:  C=301      7 L	      11 W	    169 Ch	  "loadbalancer"
18601:  C=301      7 L	      11 W	    169 Ch	  "julian"
18609:  C=301      7 L	      11 W	    169 Ch	  "huangguanzhuye"
18625:  C=301      7 L	      11 W	    169 Ch	  "h151"
18632:  C=301      7 L	      11 W	    169 Ch	  "groucho"
18630:  C=301      7 L	      11 W	    169 Ch	  "guojihuanqiuyule"
18631:  C=301      7 L	      11 W	    169 Ch	  "gubaojiqiaoguize"
18629:  C=301      7 L	      11 W	    169 Ch	  "h125"
18628:  C=301      7 L	      11 W	    169 Ch	  "h128"
18627:  C=301      7 L	      11 W	    169 Ch	  "h131"
18626:  C=301      7 L	      11 W	    169 Ch	  "h139"
18624:  C=301      7 L	      11 W	    169 Ch	  "h160"
18621:  C=301      7 L	      11 W	    169 Ch	  "host-184"
18620:  C=301      7 L	      11 W	    169 Ch	  "host-210"
18623:  C=301      7 L	      11 W	    169 Ch	  "h238"
18622:  C=301      7 L	      11 W	    169 Ch	  "host-162"
18619:  C=301      7 L	      11 W	    169 Ch	  "host-211"
18618:  C=301      7 L	      11 W	    169 Ch	  "host-244"
18617:  C=301      7 L	      11 W	    169 Ch	  "host-38"
18616:  C=301      7 L	      11 W	    169 Ch	  "host-9"
18615:  C=301      7 L	      11 W	    169 Ch	  "hss"
18614:  C=301      7 L	      11 W	    169 Ch	  "huaian"
18613:  C=301      7 L	      11 W	    169 Ch	  "huangguancaipiaowang"
18612:  C=301      7 L	      11 W	    169 Ch	  "huangguanguojixianwangzhi"
18611:  C=301      7 L	      11 W	    169 Ch	  "huangguantaobaowangzuiquanwei"
18610:  C=301      7 L	      11 W	    169 Ch	  "huangguantouzhuwangzongdaili"
18607:  C=301      7 L	      11 W	    169 Ch	  "huangguanzuqiuboqiutouzhuwang"
18608:  C=301      7 L	      11 W	    169 Ch	  "huangguanzoudizhishu"
18604:  C=301      7 L	      11 W	    169 Ch	  "irb"
18606:  C=301      7 L	      11 W	    169 Ch	  "huangjiazuqiu"
18600:  C=301      7 L	      11 W	    169 Ch	  "lager"
18605:  C=301      7 L	      11 W	    169 Ch	  "huhehaote"
18599:  C=301      7 L	      11 W	    169 Ch	  "lanqiujishibifenzhibo"
18603:  C=301      7 L	      11 W	    169 Ch	  "jesus"
18602:  C=301      7 L	      11 W	    169 Ch	  "jonas"
18596:  C=301      7 L	      11 W	    169 Ch	  "lulu"
18598:  C=301      7 L	      11 W	    169 Ch	  "lin1"
18633:  C=301      7 L	      11 W	    169 Ch	  "futiantaiyangchengzufang"
18639:  C=301      7 L	      11 W	    169 Ch	  "fair"
18662:  C=301      7 L	      11 W	    169 Ch	  "bet365jinbuqu"
18665:  C=301      7 L	      11 W	    169 Ch	  "baoyinghuangguanpingtai"
18663:  C=301      7 L	      11 W	    169 Ch	  "bet365haoma"
18647:  C=301      7 L	      11 W	    169 Ch	  "daxiyangchengduchang"
18635:  C=301      7 L	      11 W	    169 Ch	  "fsp"
18664:  C=301      7 L	      11 W	    169 Ch	  "belwue-gw"
18661:  C=301      7 L	      11 W	    169 Ch	  "bet365zenmetouzhu"
18660:  C=301      7 L	      11 W	    169 Ch	  "bijiaohaodebocaiwangzhan"
18659:  C=301      7 L	      11 W	    169 Ch	  "bitbucket"
18658:  C=301      7 L	      11 W	    169 Ch	  "bocaitiandi"
18657:  C=301      7 L	      11 W	    169 Ch	  "bocaiyouxikaifa"
18655:  C=301      7 L	      11 W	    169 Ch	  "brandon"
18653:  C=301      7 L	      11 W	    169 Ch	  "chuanqisifudubowaigua"
